question1,question2
What is integrity constraints? Explain with example about BCNF and 5th normal form,What are integrity constraints and how do BCNF and 5th normal form relate to them? Provide an example.
Explain the effect of frequency and phase errors in the local oscillator in DSB and SSB.,What are the consequences of frequency and phase errors in the local oscillator in both Double Sideband and Single Sideband modulation?
Compare IPX and SPX according to their frame format.,What are the differences in frame format between IPX and SPX?
A horizontal venturimeter with inlet diameter 20cm and throat diameter 10cm is used to measure the flow of oil of specific gravity 0.8. The discharge of oil through venturimeter is 50 lit/ sec. Find the reading of the oil- mercury differential manometer. Take Cd= 0.98.,"What is the reading of the oil-mercury differential manometer when a venturimeter with an inlet diameter of 20 cm and a throat diameter of 10 cm is used to measure the flow of oil with a specific gravity of 0.8 and a discharge of 50 liters per second, with a coefficient of discharge of 0.98?"
"Find VL/VS for the cascaded BJT amplifier given below. Assume re1 = re2 = 20 Ω , β1= β2= 100","What is the Voltage Gain (VL/VS) for the two-transistor amplifier shown in the diagram, given that re1 = re2 = 20 ohms, and β1= β2= 100?"
"Write short notes on any two: Components of GIS, Uses of auto civil Programming in civil engineering, Determination  of tacheometric constants",What are two components of GIS? How is auto civil programming used in civil engineering? How are tacheometric constants determined?
Differentiate sequential file access method and random file access method. Explain different file allocation strategies.,"What are the distinctions between sequential file access and random file access? Additionally, what are the various file allocation strategies?"
"In in trinsic semiconductor, prove that Fermi level lies at the centre of valance band and conduction band.",Demonstrate that the Fermi level is situated in the middle of the valence band and the conduction band in an intrinsic semiconductor.
Explain with neat sketches the mechanism of lightning discharge.,Draw diagrams to illustrate how lightning is discharged.
Write down the construction step of Water Bound Macadam (WBM) road.,What are the steps involved in constructing a Water Bound Macadam (WBM) road?
Write instruction to generate a pulse in every 50 microsecond from counter 0.,Create a pulse every 50 microseconds starting from counter 0.
Why is efficiency of transformer-coupled class A amplifier greater than that of series-fed class A amplifier?  Explain push-pull amplifier  and  cross over distortion with necessary diagram.  Describe the effect of shunt capacitance on high frequency response with necessary diagram.,"What advantages does a transformer-coupled class A amplifier have over a series-fed class A amplifier? Explain how a push-pull amplifier works, as well as its associated crossover distortion, including diagrams. Additionally, provide a diagram and explanation for the effect of shunt capacitance on high frequency response."
Why starter is necessary to start an induction motor? Mention the various methods of starting. Explain in detail auto-transformer method of starting a squirrel cage induction motor.,"What is the purpose of a starter in beginning an induction motor, and what are the different approaches to starting one? Provide an in-depth explanation of the auto-transformer method of initiating a squirrel cage induction motor."
Mention looping in FORTRAN by writing the a program to find out the cube root of first 20 natural numbers?,Write a FORTRAN program that uses a loop to calculate the cube root of the first 20 natural numbers.
What is normalization? Explain about BCNF and 4th normal forms in detail by takingexample.,"Explain normalization, including providing an example to illustrate the concepts of Boyce-Codd Normal Form (BCNF) and Fourth Normal Form (4NF)."
Explain briefly  different method  for voltage control,Briefly describe various approaches to regulating voltage.
What are the drawbacks of programmed I/O and interrupt driven I/O? Explain how DMA overcomes those drawbacks.,What are the negative aspects of using programmed I/O and interrupt driven I/O? Describe how DMA is able to address those issues.
Write short notes on any two: i) Limits of settlement of shallow foundations ii) Group action of piles in clay iii) Standard penetration test,i) What are the restrictions on the placement of shallow foundations? ii) How do piles act together in clay soils? iii) What is the purpose of a Standard Penetration Test?
WAP in 8085 to transfer ten bytes data from 5050H to 5060H only if data is between 30H and 70H else store 00H in the next table.,"Determine if the data is between 30H and 70H and, if so, transfer ten bytes of data from address 5050H to 5060H in an 8085 system. If the data is not between 30H and 70H, store 00H in the following table."
What are the important crop management practices for the production of maize? How are the management of fertilizer and water crucial to obtain high yield of maize?,What are the key strategies for cultivating maize? How does the management of fertilizer and water affect the yield of maize?
Write short notes on: (Any two) Rainwater harvesting or Principle of soil erosion control,Create brief summaries of: (Two of the following) Rainwater harvesting or the Principle of soil erosion control.
